dealid,Actuals,Weight,Leads UW,dealvalue,Stage,Region,industry,billingtype,solcategory,projectType,businessimpact
3648,26220,1.0,39900,114000.0,0,7,16,0,2,4,2
3644,50000,1.0,50000,150000.0,0,6,11,2,2,4,0
3643,46398,1.0,60900,182700.0,0,6,11,2,2,4,2
3641,132000,1.0,115500,480000.0,0,6,11,0,2,4,2
3639,0,1.0,2000,24000.0,0,3,15,0,1,1,2
3627,45355,1.0,45360,250000.0,0,7,1,2,0,4,0
3619,103456,1.0,107765,515400.0,0,7,20,0,0,4,2
3660,107375,1.0,114272,1318429.0,0,6,11,2,2,0,0
3606,9240,1.0,18480,92400.0,0,6,17,0,2,0,0
3594,66666,1.0,66666,800000.0,0,6,9,0,0,1,0
3587,44800,1.0,51520,571200.0,0,6,17,2,2,1,0
3586,57640,1.0,51520,571200.0,0,6,17,2,2,1,0
3583,32312,1.0,48000,568320.0,0,7,11,2,2,4,0
3582,0,0.3,16071,30000.0,4,7,20,0,0,1,0
3776,37500,1.0,37500,125000.0,0,6,17,0,2,3,0
3577,0,0.9,180592,895000.0,2,2,17,0,2,4,0
3558,44000,1.0,44000,88000.0,0,6,16,0,2,4,2
3595,251568,0.9,256226,271000.0,11,6,19,0,0,4,2
3661,117777,1.0,121242,1442760.0,0,6,11,2,2,0,2
3636,56880,1.0,59724,284400.0,0,6,17,0,2,1,0
3742,5822,0.0,0,26712.0,0,6,11,0,2,4,0
3662,83721,1.0,81972,1069596.0,0,6,11,2,2,0,2
3766,73913,1.0,73913,850000.0,0,6,19,2,2,4,0
3762,40000,1.0,1786,50000.0,0,7,9,0,0,3,0
3747,16293,1.0,16293,195520.0,0,7,21,0,0,1,0
3745,0,0.9,29300,1006850.0,2,6,11,0,0,4,0
3732,5300,1.0,5300,36900.0,0,7,20,0,0,3,0
3708,138522,1.0,142232,494720.0,0,5,20,0,2,4,2
3703,20000,0.0,0,261300.0,0,6,11,2,0,4,0
3707,5808,1.0,5808,102960.0,0,6,11,2,2,0,2
3682,49500,0.75,9281,49500.0,11,2,11,0,2,3,0
3676,281557,1.0,318143,954432.0,0,6,11,0,0,1,0
3670,0,0.3,9509,20800.0,2,5,16,0,0,4,0
3669,50000,0.5,32609,50000.0,1,5,7,0,0,3,0
3664,23232,1.0,24288,345312.0,0,6,11,2,2,0,0
3663,97343,1.0,91040,1228075.0,0,6,11,2,2,0,2
3685,0,0.75,11538,32000.0,2,2,1,0,0,1,0
3764,1875,1.0,1875,22500.0,0,1,14,0,2,1,0
4333,0,0.3,20515,300000.0,4,7,20,2,0,3,2
4340,26858,1.0,8257,35810.7,0,1,11,0,0,3,0
4334,7000,0.9,36000,25000.0,1,3,17,0,2,3,0
4375,0,0.9,17143,16000.0,2,6,19,0,0,4,0
4319,6812,0.3,6812,85500.0,4,3,19,2,3,3,0
4341,0,0.1,51053,119124.0,5,6,22,0,0,3,0
4317,11000,0.9,43686,393000.0,1,6,1,0,0,4,2
4331,0,0.1,7843,54900.0,7,2,11,0,0,3,2
4352,0,0.5,34286,40000.0,4,7,16,0,0,4,0
4371,0,0.3,55137,278750.0,4,6,9,0,0,3,0
4357,2860,0.0,0,5866.0,0,3,1,2,0,4,2
4362,19950,0.0,0,39900.0,2,7,18,0,0,0,0
4364,0,0.9,8031,144000.0,5,6,15,2,0,4,2
4366,12639,1.0,21560,58800.0,0,6,4,0,0,4,0
4370,0,0.1,100000,122080.0,7,7,20,2,0,1,2
4376,0,0.3,11833,28400.0,4,6,4,0,0,4,0
4373,0,0.3,22564,55000.0,4,6,19,0,0,3,0
4306,0,1.0,3227,23232.0,0,6,11,0,2,1,0
4354,0,0.9,23585,50000.0,1,1,11,0,0,3,0
4305,233186,0.75,291496,582992.0,11,6,18,0,0,4,0
4229,0,0.2,31500,315000.0,4,1,5,0,2,4,0
4303,0,0.9,23543,49440.0,11,5,20,0,2,4,0
4221,0,0.3,12632,40000.0,4,6,11,2,0,3,0
4378,0,0.3,56262,114400.0,4,6,4,0,0,3,0
4223,20000,0.9,29762,50000.0,1,2,5,0,0,3,0
4225,0,0.5,56139,450000.0,5,7,20,0,0,3,0
4230,150360,1.0,110000,279480.0,0,5,9,0,2,4,2
4234,0,0.9,10179,64900.0,2,5,11,0,0,4,0
4244,28800,1.0,51200,307200.0,0,6,22,2,2,1,0
4257,0,0.25,21607,55000.0,7,2,11,0,0,3,0
4261,41250,1.0,55000,110000.0,0,6,19,0,2,4,2
4262,0,0.9,22642,40000.0,1,6,11,0,0,3,2
4272,9000,1.0,9000,35500.0,0,2,17,0,2,0,0
4276,0,0.5,8849,105000.0,1,2,11,0,0,3,2
4277,0,1.0,5000,10000.0,0,5,18,0,2,4,0
4278,0,0.2,41237,57024.0,6,7,6,2,2,4,1
4287,0,0.1,19565,80000.0,7,6,5,0,0,3,2
4295,0,1.0,104505,1106000.0,0,1,11,2,2,1,0
4296,0,0.9,27699,74500.0,5,2,17,0,2,0,0
4299,3500,0.7,3500,21000.0,2,6,4,0,3,0,0
4300,28800,0.3,15712,224400.0,4,6,17,2,2,1,2
4304,11000,1.0,24200,44000.0,0,2,9,0,2,4,0
4379,0,0.3,26923,35000.0,4,6,1,0,0,4,0
4658,0,0.1,93929,128000.0,4,7,19,0,0,3,2
4390,79305,0.3,104740,105740.0,1,7,18,0,0,4,0
4551,0,0.9,21879,21720.0,1,6,18,0,2,4,1
4567,0,0.3,41486,94920.0,4,7,7,0,0,4,2
4586,0,0.3,9498,94120.0,4,5,0,0,2,3,0
4592,0,0.1,26786,250000.0,8,7,21,0,0,3,2
4604,0,0.5,37200,124000.0,7,6,19,0,2,4,0
4611,0,0.9,10316,199160.0,1,5,20,2,2,4,0
4615,32035,0.9,7290,34080.0,1,5,0,0,2,4,0
4618,16368,1.0,16632,16632.0,0,6,11,2,2,0,2
4620,28050,0.9,37843,168300.0,1,6,19,0,0,4,2
4621,28050,0.9,37843,168300.0,1,6,19,0,0,4,2
4624,0,0.3,13750,35000.0,4,7,20,0,3,3,2
4634,0,0.8,32850,35040.0,7,5,9,0,2,4,0
4644,0,0.3,3889,88000.0,4,3,17,2,2,4,0
4646,0,0.1,16533,40000.0,7,6,19,2,0,3,2
4652,0,1.0,4860,33600.0,0,6,17,0,0,0,0
4668,0,0.3,10476,25406.0,4,7,20,0,2,4,0
4680,9000,0.0,0,18000.0,9,3,4,0,2,3,2
4794,12000,0.0,0,154000.0,9,6,11,2,2,0,2
4214,0,0.9,8143,15000.0,1,6,19,0,0,3,2
4550,33968,0.0,0,33968.0,0,6,11,0,2,4,2
4382,0,0.0,6160,150920.0,5,6,4,0,0,4,2
4546,0,0.1,7143,10000.0,7,6,11,0,2,3,0
4532,0,0.1,1351,26300.0,7,3,19,2,3,3,0
4399,3667,0.0,0,44000.0,0,3,17,2,2,4,0
4401,0,0.9,3824,48000.0,2,5,18,0,0,0,0
4414,0,0.1,4945,100000.0,8,6,11,0,2,4,0
4419,39554,0.9,15029,178000.0,1,6,16,2,2,0,0
4422,0,0.9,11792,25600.0,1,6,12,0,3,4,2
4424,0,0.5,46971,50000.0,1,2,11,0,2,3,0
4432,59573,0.75,71383,178720.0,4,6,4,0,2,3,0
4433,0,0.9,42103,397800.0,1,2,17,0,3,1,0
4435,0,0.3,46013,142800.0,4,2,17,0,3,4,0
4438,88560,1.0,62366,147600.0,0,6,4,2,2,3,0
4441,0,0.3,38285,1050000.0,4,6,11,0,0,4,2
4449,15500,0.9,51667,124000.0,1,6,19,0,2,3,0
4463,5280,0.9,28862,185000.0,2,6,11,2,2,0,2
4482,0,0.2,163690,1646093.0,5,7,12,2,0,4,2
4485,58608,0.0,0,136224.0,0,6,11,2,2,1,2
4488,0,0.1,60000,66400.0,2,5,14,0,0,4,0
4496,0,0.3,23810,326860.0,5,5,1,2,0,1,0
4497,5000,0.0,0,30000.0,0,6,4,0,0,0,0
4525,7056,1.0,8459,16072.0,0,6,4,2,2,3,2
4539,0,0.0,203502,500000.0,3,4,19,0,2,4,0
4213,0,0.9,38667,100000.0,5,2,17,0,2,4,0
4583,0,0.1,40000,240000.0,7,6,9,0,0,3,0
4206,7656,0.5,53743,213840.0,1,6,11,2,3,4,2
2907,2580,1.0,2580,316200.0,0,5,18,0,0,4,0
2959,0,0.3,32500,130000.0,4,6,19,0,0,1,2
2968,44800,1.0,22300,44800.0,0,6,11,0,0,4,0
2988,22172,1.0,34424,125322.0,0,7,20,2,2,4,0
3054,0,0.3,76500,645000.0,1,7,18,0,0,4,0
3059,50614,1.0,50614,607360.0,0,7,21,0,0,4,2
3643,5024,0.0,0,182700.0,0,6,11,2,2,4,2
3081,1791,1.0,9950,39800.0,0,3,1,0,2,4,2
3121,0,0.9,16667,46666.67,1,3,14,0,0,3,0
3123,933,1.0,944,11200.0,0,3,1,2,1,1,0
3125,30000,0.9,39286,110000.0,1,7,11,0,0,4,0
3130,0,0.3,26786,140000.0,4,7,21,2,0,3,0
3151,3000,1.0,30000,150000.0,0,5,14,0,0,4,0
3160,0,0.7,14881,99250.0,5,6,15,0,0,0,2
3161,0,0.1,60000,140000.0,8,0,11,0,0,4,0
3170,16632,1.0,16632,378756.0,0,6,11,2,2,0,2
3208,0,0.75,7778,109000.0,4,6,4,0,0,4,0
3211,0,0.9,33661,65000.0,1,0,1,0,0,3,2
3265,9627,0.9,8143,25334.0,1,3,14,0,0,4,0
2826,0,0.9,10000,10000.0,1,7,20,0,0,3,0
3295,61848,1.0,221049,687200.0,0,5,1,0,0,4,0
2797,0,0.2,17857,20000.0,4,3,11,0,0,4,0
2751,17634,1.0,9926,128000.0,0,6,9,0,0,4,0
1998,0,0.3,4762,150000.0,4,7,15,0,0,3,0
2009,39500,1.0,43889,395000.0,0,6,11,2,0,4,0
2086,7500,0.9,70214,393200.0,1,6,15,0,0,4,0
2090,26025,1.0,35000,250000.0,0,7,1,0,0,3,0
2154,0,0.5,8983,144600.0,1,6,20,0,0,3,0
2170,0,0.9,32143,124600.0,1,5,14,0,0,4,0
2240,37488,1.0,41184,430560.0,0,5,11,2,3,0,2
2294,0,0.9,36231,249550.0,2,3,20,0,0,4,2
2295,121100,1.0,100000,797000.0,0,5,1,0,3,4,0
2303,30720,1.0,30720,978432.0,0,6,17,0,0,1,2
2307,32624,1.0,16391,75000.0,0,5,11,0,0,4,0
2345,0,0.2,24490,38000.0,4,1,4,2,0,4,2
2587,129360,1.0,129360,1528800.0,0,7,21,0,0,4,2
2593,53000,1.0,62500,150000.0,0,6,17,0,0,3,0
2639,0,0.9,50491,195000.0,4,5,16,0,0,4,2
2663,0,0.1,23016,50000.0,8,7,15,0,0,4,0
2673,93960,1.0,100000,900000.0,0,6,4,0,0,4,2
2681,2100,1.0,1750,99000.0,0,5,14,0,2,4,0
2687,0,0.9,81429,342000.0,1,5,14,0,2,4,0
2762,27885,1.0,36827,272550.0,0,2,9,0,2,4,2
3301,2500,1.0,9461,25000.0,0,5,18,0,2,0,0
3304,20945,1.0,20240,112480.0,0,2,5,2,2,1,0
3322,0,1.0,53120,132800.0,0,5,18,0,0,4,0
3532,5000,1.0,5000,30000.0,0,2,9,0,2,1,0
3533,13200,0.9,13055,79200.0,11,2,9,0,2,1,0
3548,4224,1.0,4000,24000.0,0,6,11,2,2,4,0
3550,4500,1.0,4500,54000.0,0,5,18,0,0,1,0
3553,20000,1.0,18462,240000.0,0,5,14,0,3,0,0
3558,30800,1.0,44000,88000.0,0,6,16,0,2,4,2
3577,167813,0.9,180592,895000.0,2,2,17,0,2,4,0
3583,37248,1.0,48000,568320.0,0,7,11,2,2,4,0
3586,49280,1.0,49280,571200.0,0,6,17,2,2,1,0
3587,56000,1.0,49280,571200.0,0,6,17,2,2,1,0
3594,66666,1.0,66666,800000.0,0,6,9,0,0,1,0
3604,0,0.1,809,10000.0,7,3,14,0,0,1,0
3606,9240,1.0,9240,92400.0,0,6,17,0,2,0,0
3619,89792,1.0,103080,515400.0,0,7,20,0,0,4,2
3627,45365,1.0,45360,250000.0,0,7,1,2,0,4,0
3636,56880,1.0,56880,284400.0,0,6,17,0,2,1,0
3639,0,1.0,2000,24000.0,0,3,15,0,1,1,2
3642,175000,1.0,166393,1750000.0,0,6,11,2,2,4,2
4211,0,0.1,4464,98000.0,4,3,11,2,3,0,2
3531,15000,1.0,15000,95000.0,0,2,9,0,2,1,0
3530,43200,1.0,45000,700000.0,0,6,19,2,0,4,0
3529,151200,0.9,90000,1140000.0,2,6,19,2,0,4,0
3512,12600,1.0,2200,151200.0,0,5,11,0,2,4,0
3339,0,0.1,6522,100000.0,8,5,9,0,0,4,0
3342,0,1.0,43000,68800.0,0,7,7,0,0,3,0
3345,0,0.1,11413,35000.0,7,5,9,0,0,4,2
3372,11262,0.9,15000,30034.0,11,3,1,0,0,3,0
3377,0,0.5,47314,99360.0,1,6,18,0,0,3,0
3378,14321,1.0,13466,163391.0,0,6,11,2,2,4,0
3379,15840,1.0,14895,180720.0,0,6,11,2,2,4,0
3380,5438,1.0,5114,62047.0,0,6,11,2,2,4,0
3381,15590,1.0,14995,177869.0,0,6,11,2,2,4,0
1960,171416,1.0,125520,3575295.0,0,6,9,2,2,3,0
3382,4351,1.0,4091,49638.0,0,6,11,2,2,4,0
3430,0,0.0,120879,4000000.0,6,7,5,0,0,4,0
3467,0,0.1,14286,40000.0,7,4,19,0,0,3,2
3475,0,0.9,14971,101800.0,5,6,9,0,0,4,0
3479,91050,1.0,79000,495250.0,0,6,22,2,0,1,0
3482,6500,1.0,6500,156000.0,0,6,15,2,0,0,0
3484,38050,1.0,40000,490380.0,0,6,22,2,3,1,2
3485,124920,0.9,111264,1404000.0,2,6,19,2,0,3,0
3486,60000,0.0,0,120000.0,5,6,19,0,0,3,0
3489,3500,1.0,3500,42000.0,0,6,4,0,0,0,0
3403,13900,0.0,0,13900.0,1,6,18,0,0,3,2
1947,6525,1.0,6525,65250.0,0,7,16,0,2,1,0
3273,53440,1.0,53440,133600.0,0,6,17,0,0,3,0
1544,56100,1.0,55500,660000.0,0,6,11,0,2,4,0
4069,31000,1.0,31000,124000.0,0,6,19,0,2,3,2
4061,10960,1.0,10960,65760.0,0,7,21,0,0,4,0
4053,1000,1.0,1071,13000.0,0,5,4,2,0,0,2
4052,0,0.1,16500,99900.0,7,6,16,0,0,3,0
4035,7680,0.0,0,23040.0,0,6,22,2,2,1,0
4033,326000,1.0,326000,1385500.0,0,6,18,0,0,4,0
4031,71496,0.0,0,714960.0,0,6,11,2,2,0,0
4004,0,0.1,1099,52000.0,7,7,12,2,2,4,0
4002,32348,0.9,62000,124000.0,1,6,10,0,2,3,0
4001,68895,0.3,89464,300600.0,4,6,20,2,0,4,0
3995,0,0.9,6857,8000.0,1,7,11,0,0,3,0
3992,15000,0.0,0,40000.0,0,6,11,0,2,4,2
3991,35000,0.0,0,70000.0,0,6,11,0,2,4,0
3987,11994,0.0,0,51200.0,11,3,1,2,0,4,0
3986,0,0.1,18956,50000.0,7,7,20,0,0,4,0
3983,7515,1.0,11250,45000.0,0,6,14,0,0,1,0
3979,15500,0.0,0,31000.0,0,7,18,0,0,4,0
3976,67631,1.0,67631,676310.0,0,6,11,2,2,4,2
3973,0,0.3,30119,200000.0,4,6,20,0,0,3,0
4071,84706,1.0,84706,192000.0,0,6,4,0,2,4,0
4076,137904,1.0,66857,402800.0,0,6,19,2,2,4,0
4092,0,0.3,19643,130000.0,4,6,15,0,0,4,0
4096,99799,0.9,85286,338300.0,2,5,18,0,2,4,0
4202,0,0.9,19643,90000.0,11,6,9,0,2,4,0
1805,0,0.9,22857,80000.0,1,7,17,0,0,3,0
4192,25000,1.0,10000,40000.0,0,5,1,0,0,4,0
4183,0,0.3,9524,10000.0,4,3,11,0,2,3,0
4182,0,0.3,12343,24000.0,4,3,1,0,0,4,0
4179,0,0.1,11786,50000.0,8,6,21,0,2,0,0
4178,0,0.9,25000,20000.0,11,5,19,0,2,3,0
4176,26000,1.0,26000,78000.0,0,6,17,0,2,1,0
4171,18850,1.0,14280,57120.0,0,5,20,0,2,4,0
3959,35000,1.0,35000,105000.0,0,6,11,0,0,1,0
4170,0,0.9,34226,115000.0,11,1,9,0,0,3,2
4143,21070,0.3,21659,84280.0,1,6,11,2,0,4,0
4125,0,0.3,33582,75000.0,4,7,11,0,0,3,2
4120,49722,0.9,101667,895000.0,1,2,17,0,2,4,0
4115,8146,1.0,8146,86480.0,0,7,21,0,0,4,0
4112,46710,1.0,79580,173000.0,0,5,5,0,2,4,0
4105,14166,1.0,14167,170000.0,0,6,11,0,2,0,2
4102,24100,0.0,0,96400.0,0,7,16,0,0,3,2
4098,0,0.9,2571,5000.0,1,3,14,0,0,4,0
4097,0,0.5,26923,50000.0,7,6,11,0,2,4,0
4162,0,0.1,16743,58600.0,4,6,1,0,0,3,0
3930,876,0.0,0,7000.0,0,3,19,2,0,4,0
4201,0,0.2,86207,500000.0,1,6,9,0,2,4,2
3902,25643,0.0,0,102700.0,0,1,14,2,2,4,0
3747,16293,1.0,16293,195520.0,0,7,21,0,0,1,0
3745,0,0.9,25752,1006850.0,2,6,11,0,0,4,0
3708,138521,1.0,136048,494720.0,0,5,20,0,2,4,2
3707,5544,1.0,5544,102960.0,0,6,11,2,2,0,2
3703,26130,0.0,0,261300.0,0,6,11,2,0,4,0
3685,0,0.75,5769,32000.0,2,2,1,0,0,1,0
3679,0,0.15,32798,410000.0,4,6,5,0,0,4,0
3677,321667,0.9,353298,1930000.0,1,6,11,0,0,1,0
3670,0,0.75,14857,20800.0,2,5,16,0,0,4,0
3669,0,0.5,17391,50000.0,11,5,7,0,0,3,0
3664,21912,1.0,23232,345312.0,0,6,11,2,2,0,0
3663,94195,1.0,97990,1228075.0,0,6,11,2,2,0,2
3662,78012,1.0,78408,1069596.0,0,6,11,2,2,0,2
3661,110616,1.0,115731,1442760.0,0,6,11,2,2,0,2
3660,90684,1.0,109078,1318429.0,0,6,11,2,2,0,0
3658,0,1.0,49200,131200.0,0,6,9,0,2,4,1
3654,0,1.0,200000,1250000.0,0,3,5,0,2,4,2
3648,7980,1.0,8200,114000.0,0,7,16,0,2,4,2
3915,24032,1.0,27927,51200.0,0,7,20,0,0,3,2
3762,0,1.0,48214,50000.0,0,7,9,0,0,3,0
3764,1875,1.0,1875,22500.0,0,1,14,0,2,1,0
1069,0,1.0,66240,220800.0,0,6,9,0,2,4,0
3767,2500,1.0,2500,40000.0,0,6,4,0,0,1,0
3888,0,0.3,10500,84000.0,4,6,15,0,2,3,0
3882,16666,1.0,16666,200000.0,0,6,17,0,2,1,0
3877,0,1.0,24000,96000.0,0,7,16,0,2,4,0
3875,62336,1.0,67431,194800.0,0,7,18,0,2,4,0
3870,0,1.0,50000,50000.0,0,6,9,0,2,4,0
3766,92391,1.0,92391,850000.0,0,6,19,2,2,4,0
3859,65365,1.0,65365,753200.0,0,6,17,0,3,1,0
3857,0,0.6,44771,550792.0,4,1,11,2,0,4,0
3853,0,0.9,121190,481600.0,1,6,9,0,0,3,0
3865,42624,1.0,18333,200000.0,0,6,16,2,2,3,1
3850,48550,1.0,40080,378690.0,0,6,22,2,0,4,0
3851,78600,1.0,30000,133000.0,0,6,20,0,0,4,2
3784,13200,1.0,4400,40000.0,0,6,15,0,0,3,0
3795,10000,1.0,6000,40000.0,0,6,22,2,0,4,0
3801,0,0.75,79781,473600.0,4,7,11,2,2,4,2
3773,53210,0.9,40988,313000.0,1,5,14,0,2,4,0
3823,11200,1.0,11440,67200.0,0,2,15,2,3,1,2
3827,21848,1.0,8312,110000.0,0,6,19,2,0,0,1
3846,0,0.9,56786,195000.0,1,5,14,0,2,4,2
3821,44000,1.0,42000,248000.0,0,7,20,2,2,1,0
4515,0,0.3,17410,65000.0,4,4,19,0,0,3,2
4520,0,0.3,65500,518400.0,4,6,9,2,2,4,0
4525,9016,1.0,9016,16072.0,0,6,4,2,2,3,2
4532,3394,1.0,2327,26300.0,0,3,19,2,3,3,0
4542,0,0.3,35278,287800.0,4,5,20,2,0,3,2
4548,50000,1.0,50000,503968.0,0,6,11,2,2,4,0
4551,0,0.9,18378,21720.0,1,6,18,0,2,4,1
4562,1975,0.1,1854,27650.0,7,1,14,0,2,0,0
4621,28050,1.0,28050,168300.0,0,6,19,0,0,4,2
4586,0,0.3,17039,94120.0,4,5,0,0,2,3,0
4592,0,0.1,92262,250000.0,8,7,21,0,0,3,2
4603,80515,0.9,74898,644120.0,2,6,20,0,0,4,2
4604,15500,0.0,0,124000.0,0,6,19,0,2,4,0
4605,0,0.3,44464,97200.0,4,6,19,2,3,0,1
4611,368,0.9,31720,199160.0,1,5,20,2,2,4,0
4615,2045,1.0,4080,34080.0,0,5,0,0,2,4,0
4620,28050,1.0,28050,168300.0,0,6,19,0,0,4,2
4366,26460,1.0,20580,58800.0,0,6,4,0,0,4,0
4573,0,0.9,24231,45000.0,1,5,19,0,2,4,2
